Français;Anglais;Espagnol;Allemand
Infirmière;Nurse;Enfermera;Krankenschwester
Dentiste;Dentist;Dentista;Zahnarzt
Pharmacien;Pharmacist;Farmacéutico;Apotheker
Veterinaire;Veterinarian;Veterinario;Tierarzt
Enseignant;Teacher;Maestro;Lehrer
Professeur;Professor;Profesor;Professor
etudiant;Student;Estudiante;Student
ecolier;Schoolboy;Escolar;Schuljunge
Policier;Policeman;Policía;Polizist
Pompier;Firefighter;Bombero;Feuerwehrmann
Soldat;Soldier;Soldado;Soldat
Marin;Sailor;Marinero;Seemann
Aviateur;Aviator;Aviador;Flieger
Mecanicien;Mechanic;Mecánico;Mechaniker
electricien;Electrician;Electricista;Elektriker
Plombier;Plumber;Fontanero;Klempner
Charpentier;Carpenter;Carpintero;Zimmermann
Maçon;Mason;Albañil;Maurer
Jardinier;Gardener;Jardinero;Gärtner
Cuisinier;Cook;Cocinero;Koch
Serveur;Waiter;Camarero;Kellner
Serveuse;Waitress;Camarera;Kellnerin
Boucher;Butcher;Carnicero;Metzger
Boulanger;Baker;Panadero;Bäcker
Pâtissier;Pastry Chef;Pastelero;Konditor
Artisan;Craftsman;Artesano;Handwerker
Artiste;Artist;Artista;Künstler
Peintre;Painter;Pintor;Maler
Sculpteur;Sculptor;Escultor;Bildhauer
Musicien;Musician;Músico;Musiker
Chanteur;Singer;Cantante;Sänger
Compositeur;Composer;Compositor;Komponist
ecrivain;Writer;Escritor;Schriftsteller
Poète;Poet;Poeta;Dichter
Journaliste;Journalist;Periodista;Journalist
Reporter;Reporter;Reportero;Reporter
Photographe;Photographer;Fotógrafo;Fotograf
Cineaste;Filmmaker;Cineasta;Filmemacher
Acteur;Actor;Actor;Schauspieler
Actrice;Actress;Actriz;Schauspielerin
Danseur;Dancer;Bailarín;Tänzer
Choregraphe;Choreographer;Coreógrafo;Choreograph
Realisateur;Director;Director;Regisseur
Producteur;Producer;Productor;Produzent
Technicien;Technician;Técnico;Techniker
Informatique;Computer Science;Informática;Informatik
Programmeur;Programmer;Programador;Programmierer
Analyste;Analyst;Analista;Analyst
Specialiste;Specialist;Especialista;Spezialist
Consultant;Consultant;Consultor;Berater
Entrepreneur;Entrepreneur;Emprendedor;Unternehmer
Chef;Chief;Jefe;Chef
Directeur;Director;Director;Direktor
Cadre;Executive;Ejecutivo;Geschäftsführer
President;President;Presidente;Präsident
Ministre;Minister;Ministro;Minister
Depute;Deputy;Diputado;Abgeordneter
Senateur;Senator;Senador;Senator
Gouverneur;Governor;Gobernador;Gouverneur
Maire;Mayor;Alcalde;Bürgermeister
Conseiller;Counselor;Consejero;Berater
Diplomate;Diplomat;Diplomático;Diplomat
Ambassadeur;Ambassador;Embajador;Botschafter
Consul;Consul;Cónsul;Konsul
Avocat;Lawyer;Abogado;Anwalt
Juge;Judge;Juez;Richter
